	 GFP9 -Oh- A	 GFP9 -Oh- B	 GFP9 -Oh- C	 M3-12 -Oh- A	 M3-12 -Oh- B	 M3-12 -Oh- C	 Me3-8 -Oh- A	 Me3-8 -Oh- B	 Me3-8 -Oh- C	 O2-9 -Oh- A	 O2-9 -Oh- B	 O2-9 -Oh- C
4-HYDROXYBENZALDEHYDE	1.67E-04	2.31E-04	2.37E-04	1.69E-04	2.74E-04	4.11E-04	1.81E-04	1.87E-04	3.18E-04	1.45E-04	1.52E-04	1.86E-04
METHYGLUTARATE	2.15E-04	2.42E-04	2.85E-04	2.19E-04	3.34E-04	3.13E-04	3.09E-04	2.62E-04	2.58E-04	3.23E-04	2.74E-04	2.79E-04
O-SUCCINYL-HOMOSERINE-2	5.04E-05	4.26E-05	5.39E-05	5.67E-05	4.75E-05	4.16E-05	9.29E-05	4.79E-05	3.56E-05	9.38E-05	6.39E-05	4.95E-05
4-HYDROXYPHENYLPYRUVATE	2.03E-04	2.34E-04	2.56E-04	1.81E-04	3.26E-04	4.26E-04	1.98E-04	2.41E-04	3.27E-04	1.66E-04	1.87E-04	1.95E-04
OXIDIZED GLUTATHIONE	8.61E-03	6.95E-03	1.18E-02	2.18E-02	2.62E-02	4.04E-02	6.29E-02	4.92E-02	9.65E-02	3.20E-02	3.06E-02	6.12E-02
4-Hydroxyphenyl-2-propionic acid	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
6-HYDROXYDOPAMINE	4.50E-07	8.94E-06	6.09E-07	1.20E-05	8.26E-06	5.38E-07	1.26E-05	6.21E-07	1.73E-05	1.31E-05	1.29E-05	1.19E-05
BETAINE ALDEHYDE	2.47E-04	4.78E-07	6.09E-07	5.01E-07	2.90E-04	2.51E-04	3.12E-04	2.17E-04	2.38E-04	3.52E-04	3.40E-04	2.97E-04
UREA	5.58E-06	6.64E-06	6.73E-06	7.46E-06	1.08E-05	5.38E-07	7.87E-06	9.09E-06	5.19E-07	9.15E-06	8.21E-06	7.06E-06
N-METHYLGLUTAMATE	4.50E-07	4.78E-07	6.61E-05	5.84E-05	7.85E-05	6.38E-05	7.36E-05	5.94E-05	5.76E-05	8.39E-05	7.11E-05	6.88E-05
LPC(16:0)	7.06E-04	6.90E-04	7.14E-04	1.90E-03	1.89E-03	1.81E-03	1.08E-03	8.51E-04	8.51E-04	1.08E-03	9.23E-04	1.00E-03
METHYL 4-AMINOBUTYRATE	4.66E-03	2.27E-03	1.90E-03	4.68E-03	4.52E-03	6.94E-03	2.19E-03	3.10E-03	5.44E-03	2.30E-03	3.68E-03	4.05E-03
HYPOXANTHINE	3.28E-04	2.22E-04	2.60E-04	3.34E-04	2.57E-04	4.64E-04	9.36E-04	3.49E-04	1.47E-03	2.26E-04	1.90E-04	2.09E-04
DIETHANOLAMINE	8.68E-05	5.10E-05	1.49E-04	6.65E-05	9.66E-05	1.65E-04	8.82E-05	8.25E-05	3.25E-04	8.41E-05	7.43E-05	1.44E-04
3-Hydroxysebacic acid	5.46E-05	7.22E-05	9.01E-05	6.99E-05	1.06E-04	9.39E-05	1.03E-04	1.08E-04	9.87E-05	9.88E-05	9.45E-05	1.04E-04
NICOTINATE-1	2.66E-05	3.20E-05	4.46E-05	2.74E-05	3.77E-05	4.35E-05	4.04E-05	2.68E-05	2.40E-05	4.57E-05	2.55E-05	1.05E-05
UDPgalactose	5.76E-04	1.01E-03	1.15E-03	9.43E-04	1.19E-03	9.45E-04	6.42E-04	2.84E-05	8.41E-04	2.52E-05	1.26E-03	8.27E-04
SPERMINE	9.62E-03	1.77E-02	1.81E-02	7.19E-03	1.14E-02	5.06E-03	9.77E-03	1.26E-02	3.31E-02	1.59E-02	2.31E-02	1.90E-02
PORPHOBILINOGEN-1	2.55E-05	2.17E-05	2.89E-05	3.29E-05	3.43E-05	2.12E-05	6.74E-07	6.21E-07	1.50E-05	2.62E-05	1.86E-05	2.75E-05
TAURINE	4.74E-02	5.81E-02	7.13E-02	4.72E-02	5.25E-02	2.21E-02	6.71E-02	8.24E-02	3.28E-02	9.78E-02	9.53E-02	6.21E-02
THYMIDINE	2.63E-05	2.68E-05	3.57E-05	2.85E-05	4.31E-05	4.01E-05	3.49E-05	3.37E-05	3.27E-05	3.19E-05	2.88E-05	3.58E-05
PHENYLLACTATE	1.30E-05	1.42E-05	1.69E-05	1.26E-05	1.23E-05	1.91E-05	1.22E-05	1.43E-05	1.10E-05	1.98E-05	2.31E-05	1.86E-05
DL-2-AMINOCTANOATE	5.30E-06	8.63E-06	3.13E-06	6.22E-06	2.47E-06	6.25E-06	1.19E-05	8.61E-06	7.87E-06	5.40E-06	9.26E-06	1.02E-05
4-GUANIDINOBUTANOATE	2.60E-04	2.55E-04	3.58E-04	1.99E-04	3.86E-04	3.24E-04	2.56E-04	1.71E-04	2.21E-04	2.49E-04	2.05E-04	1.94E-04
BENZYLAMINE	9.39E-05	5.50E-05	6.30E-05	6.29E-05	8.54E-05	9.47E-05	5.14E-05	5.11E-05	6.50E-05	4.39E-05	6.46E-05	6.39E-05
CYSTEATE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
URIDINE DIPHOSPHATE-N-ACETYLGALACTOSAMINE	7.22E-05	2.82E-04	1.82E-04	1.88E-04	2.28E-04	1.62E-04	1.25E-04	1.42E-05	1.15E-04	1.65E-05	3.27E-04	1.09E-04
PHENYLETHANOLAMINE	7.05E-05	6.57E-05	4.47E-05	4.52E-05	7.90E-05	6.41E-05	6.57E-05	5.44E-05	5.64E-05	5.22E-05	5.60E-05	7.61E-05
TARTRATE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
URIDINE DIPHOSPHATE-N-ACETYLGLUCOSAMINE	7.22E-05	2.82E-04	1.87E-04	1.88E-04	2.28E-04	1.63E-04	1.32E-04	1.42E-05	1.16E-04	1.65E-05	3.27E-04	1.09E-04
LPC(18:1)	9.70E-04	4.41E-04	4.24E-04	1.10E-03	1.70E-03	1.00E-03	6.65E-04	5.71E-04	1.44E-03	7.57E-04	7.75E-04	7.18E-04
CYSTEINE	3.76E-06	2.45E-06	6.09E-07	3.84E-06	2.67E-06	5.38E-07	3.22E-06	9.55E-06	5.19E-07	5.24E-06	2.80E-06	3.01E-06
"3-(3,4,5-Trimethoxyphenyl)propanoic acid"	1.62E-05	2.86E-05	3.13E-05	5.01E-07	4.23E-05	4.11E-05	3.83E-05	6.21E-07	3.56E-05	3.30E-05	6.09E-07	3.18E-05
PHOSPHONOACETATE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
THYMINE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
OROTATE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
GALACTITOL	1.52E-03	1.47E-03	1.55E-03	1.16E-03	2.72E-03	1.25E-04	9.61E-04	2.03E-03	3.23E-04	1.36E-03	1.81E-03	1.52E-03
MANNITOL	1.52E-03	1.47E-03	1.55E-03	1.16E-03	2.72E-03	1.25E-04	9.61E-04	2.03E-03	3.23E-04	1.36E-03	1.81E-03	1.52E-03
URIDINE 5'-DIPHOSPHATE	7.68E-05	8.38E-05	6.90E-05	7.25E-05	1.17E-04	1.20E-04	7.67E-05	9.59E-05	1.10E-04	9.86E-05	9.92E-05	1.04E-04
hexanoylcarnitine	2.10E-04	1.96E-04	2.21E-04	2.05E-04	2.59E-04	3.01E-04	2.83E-04	2.94E-04	2.97E-04	3.43E-04	4.02E-04	4.08E-04
BETA-GLYCEROPHOSPHATE	7.27E-05	9.04E-05	9.32E-05	8.90E-05	1.29E-04	9.13E-05	9.75E-05	1.25E-04	9.28E-05	8.74E-05	1.09E-04	8.12E-05
GLYCOLATE	4.30E-05	1.03E-04	7.16E-05	5.40E-05	5.02E-05	3.16E-05	7.17E-05	1.54E-04	2.50E-05	2.71E-04	2.21E-04	9.67E-05
ANSERINE	2.07E-05	1.05E-05	7.60E-06	1.34E-05	1.98E-05	3.63E-06	6.42E-06	6.64E-06	4.73E-06	9.62E-06	1.06E-05	1.36E-05
ALPHA-KETOISOVALERATE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
ASPARAGINE	3.41E-05	6.87E-05	6.29E-05	3.29E-05	3.09E-05	1.19E-05	4.59E-05	7.22E-05	1.39E-05	4.79E-05	3.84E-05	2.59E-05
2-HYDROXYPHENYLACETATE	4.50E-07	1.24E-05	1.45E-05	1.10E-05	6.21E-06	1.20E-05	1.24E-05	1.02E-05	1.51E-05	1.51E-05	1.23E-05	1.49E-05
METHYLTHIOADENOSINE	2.74E-03	2.44E-03	2.44E-03	2.64E-03	3.13E-03	2.77E-03	2.44E-03	2.18E-03	2.51E-03	2.00E-03	2.46E-03	2.32E-03
GLYCEROL 3-PHOSPHATE	6.86E-05	8.69E-05	8.86E-05	8.29E-05	1.24E-04	8.46E-05	9.03E-05	1.19E-04	8.75E-05	7.90E-05	1.03E-04	7.54E-05
GALACTARATE	2.78E-05	3.33E-05	4.16E-05	2.88E-05	4.79E-05	4.22E-05	4.85E-05	5.41E-05	5.19E-07	4.08E-05	3.43E-05	3.45E-05
PYRAZOLE	1.77E-05	1.33E-05	6.09E-07	1.72E-05	1.45E-05	6.68E-06	1.13E-05	1.04E-05	1.17E-05	9.19E-06	8.99E-06	7.89E-06
Dodecanoic acid	1.48E-05	1.54E-05	2.18E-05	1.28E-05	2.21E-05	1.39E-05	1.90E-05	1.62E-05	1.53E-05	2.24E-05	2.01E-05	2.04E-05
THIAMINE MONOPHOSPHATE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
1-AMINOCYCLOPROPANECARBOXYLATE	3.32E-05	3.83E-05	4.39E-05	4.03E-05	4.42E-05	1.70E-05	4.23E-05	3.63E-05	1.79E-05	3.76E-05	3.61E-05	2.81E-05
2-HYDROXYPYRIDINE	1.32E-04	7.95E-05	1.12E-04	6.83E-05	1.47E-04	1.10E-04	5.74E-05	5.14E-05	9.21E-05	6.78E-05	7.30E-05	5.16E-05
DEOXYCYTIDINE-2	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
S-ADENOSYLMETHIONINE	2.61E-03	5.68E-03	6.28E-03	3.01E-03	2.64E-03	1.02E-02	1.72E-03	3.18E-03	6.57E-03	2.02E-03	2.87E-03	1.68E-03
PIPECOLATE	9.45E-05	9.91E-05	1.01E-04	1.10E-04	9.59E-05	1.09E-04	9.86E-05	7.45E-05	9.24E-05	6.28E-05	6.88E-05	8.96E-05
N-ACETYLGLYCINE	1.40E-05	1.68E-05	2.13E-05	9.13E-06	1.58E-05	1.51E-05	1.08E-05	9.13E-06	1.27E-05	1.19E-05	1.05E-05	9.53E-06
THYROXINE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
S-CARBOXYMETHYLCYSTEINE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
INDOLEACETALDEHYDE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
GLUCONOLACTONE	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
2-PROPENOATE-2	4.50E-07	4.78E-07	6.09E-07	5.01E-07	6.89E-07	5.38E-07	6.74E-07	6.21E-07	5.19E-07	6.91E-07	6.09E-07	5.79E-07
HYDROXYISOCAPROIC	5.92E-05	4.00E-05	2.86E-05	5.16E-05	5.64E-05	5.71E-05	4.93E-05	6.82E-05	4.83E-05	6.35E-05	7.98E-05	4.79E-05
TRIGONELLINE	1.95E-04	2.11E-04	2.74E-04	1.43E-04	1.98E-04	3.00E-04	2.14E-04	2.00E-04	2.02E-04	1.87E-04	2.05E-04	2.51E-04
SACCHARATE	3.87E-05	3.61E-05	4.90E-05	3.91E-05	3.91E-05	2.63E-05	6.63E-05	6.29E-05	5.19E-07	5.02E-05	4.33E-05	2.88E-05
HISTIDINE	5.62E-04	5.04E-04	4.90E-04	5.70E-04	5.16E-04	3.64E-04	4.14E-04	5.26E-04	3.25E-04	4.65E-04	4.42E-04	3.94E-04
PHENYLACETATE	9.67E-06	1.06E-05	7.24E-06	5.01E-07	1.18E-05	1.19E-05	6.74E-07	6.21E-07	9.24E-06	1.17E-05	1.59E-05	1.15E-05
SPERMIDINE	1.46E-02	1.51E-02	1.75E-02	1.43E-02	2.10E-02	2.36E-02	1.95E-02	1.88E-02	3.01E-02	1.72E-02	1.89E-02	1.91E-02
OPHTHALMATE-2	7.59E-06	1.80E-03	2.01E-03	7.20E-04	9.48E-04	8.93E-04	4.29E-04	4.60E-04	2.62E-04	6.38E-04	6.52E-04	4.21E-04
GLYOXYLATE	8.81E-05	8.32E-05	9.25E-05	9.24E-05	1.13E-04	1.56E-05	7.82E-05	8.34E-05	2.83E-05	1.01E-04	8.71E-05	9.35E-05
MEVALONATE	6.14E-06	4.67E-06	1.01E-05	6.16E-06	7.23E-06	1.02E-05	5.05E-06	9.35E-06	6.83E-06	1.07E-05	9.18E-06	1.10E-05
BETA-ALANINE	1.31E-04	2.24E-04	2.07E-04	1.06E-04	8.60E-05	3.29E-05	9.85E-05	1.51E-04	4.22E-05	1.79E-04	1.79E-04	8.80E-05
SARCOSINE	1.39E-04	2.35E-04	2.17E-04	1.11E-04	9.33E-05	3.34E-05	8.95E-05	1.57E-04	4.40E-05	1.83E-04	1.78E-04	9.43E-05
O-ACETYLSERINE	4.41E-02	6.30E-02	7.20E-02	5.64E-02	6.70E-02	1.28E-02	6.37E-02	5.60E-02	3.22E-02	4.98E-02	4.61E-02	4.53E-02
DIMETHYLGLYCINE	1.16E-04	1.63E-04	6.09E-07	5.01E-07	1.41E-04	6.35E-05	6.74E-07	6.21E-07	8.28E-05	6.91E-07	2.07E-04	1.72E-04
ASPARTATE	1.09E-03	1.28E-03	2.33E-03	2.40E-04	2.32E-04	1.31E-04	2.80E-04	2.80E-04	9.21E-05	4.65E-04	3.99E-04	2.41E-04
2-DEOXY-D-GLUCOSE	1.99E-05	8.31E-06	1.39E-05	1.33E-05	1.06E-05	1.60E-05	2.34E-05	1.86E-05	5.19E-07	6.91E-07	8.27E-06	5.79E-07
GLYCEROPHOSPHOCHOLINE	1.79E-02	1.69E-02	1.85E-02	4.16E-02	3.68E-02	4.64E-02	2.55E-02	2.05E-02	9.33E-03	2.26E-02	1.36E-02	1.02E-02
GAMMA-AMINOBUTYRATE	1.16E-04	1.54E-04	6.09E-07	5.01E-07	6.89E-07	4.88E-05	6.74E-07	6.21E-07	6.40E-05	6.91E-07	1.96E-04	1.55E-04
