Protein Id,Gene Symbol,Description,Group ID,Number of peptides,Collapsed?,GFP5-1 Sum,GFP5-2 Sum,GFP9-1 Sum,GFP9-2 Sum,Me2.14-1 Sum,Me2.14-2 Sum,Me3.8-1 Sum,Me3.8-2 Sum,O2.9-1 Sum,O2.9-2 Sum,O2.10-1 Sum
sp|A2AIV2|VIR_MOUSE,Kiaa1429,VIR_MOUSE Protein virilizer homolog,3031,8,C,981.236,1002.11,1025.78,1161.62,945.307,1035.03,959.396,960.625,903.791,907.697,810.115
sp|A2AIW0|SDCG3_MOUSE,Sdccag3,SDCG3_MOUSE Serologically defined colon cancer antigen 3 homolog,5628,2,C,121.302,123.633,106.595,126.887,89.824,85.6895,91.0366,90.1964,88.0043,70.7561,77.5786
sp|A2AJ15|MA1B1_MOUSE,Man1b1,"MA1B1_MOUSE Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",840,4,C,911.936,786.613,842.504,844.055,764.411,772.899,728.794,827.994,715.818,721.179,889.613
sp|A2AJ88|PLPL7_MOUSE,Pnpla7,PLPL7_MOUSE Patatin-like phospholipase domain-containing protein 7,4655,3,C,261.547,170.941,278.088,194.565,507.288,470.223,294.648,499.244,346.342,385.473,725.299
sp|A2AJI0|MA7D1_MOUSE,Map7d1,MA7D1_MOUSE MAP7 domain-containing protein 1,466,17,C,2385.34,2057.11,2314.2,1838.67,1693.37,1714.17,1422.03,1676.32,1576.69,1649.14,1189.61
sp|A2AJL3|FGGY_MOUSE,Fggy,FGGY_MOUSE FGGY carbohydrate kinase domain-containing protein,4601,4,C,293.101,331.1,285.608,352.49,285.437,277.154,230.626,179.322,474.825,434.775,396.128
sp|A2AJQ3|D19L4_MOUSE,Dpy19l4,D19L4_MOUSE Probable C-mannosyltransferase DPY19L4,5906,3,C,304.488,92.7988,315.873,176.046,217.105,224.217,139.165,259.649,273.824,320.024,323.796
sp|A2AJT4|PNISR_MOUSE,Pnisr,PNISR_MOUSE Arginine/serine-rich protein PNISR,2419,2,C,405.719,491.614,414.558,486.761,537.82,521.06,533.759,465.275,415.848,379.66,274.864
sp|A2AKB9|DCA10_MOUSE,Dcaf10,DCA10_MOUSE DDB1- and CUL4-associated factor 10,5836,3,C,295.432,321.631,287.997,319.601,235.365,239.168,291.039,266.743,256.672,254.816,191.323
sp|A2AKG8|FOCAD_MOUSE,Focad,FOCAD_MOUSE Focadhesin,3154,10,C,1318.63,1401.2,1484.54,1546.12,1558.75,1588.69,1871.48,1790.48,1463.34,1351.89,1251.02
sp|A2AKQ8|T30A2_MOUSE,Ttc30a2,T30A2_MOUSE Tetratricopeptide repeat protein 30A2,571,2,C,298.332,287.415,391.757,391.343,332.466,314.187,374.052,325.34,359.801,330.51,387.02
sp|A2AKX3|SETX_MOUSE,Setx,SETX_MOUSE Probable helicase senataxin,672,5,C,620.781,425.739,663.956,516.992,571.325,499.949,535.981,583.747,498.222,523.825,528.33
sp|A2ALW5|DJC25_MOUSE,Dnajc25,DJC25_MOUSE DnaJ homolog subfamily C member 25,15,8,C,966.697,303.119,1096.32,495.935,968.602,801.931,673.699,1223.32,850.586,910.598,934.132
sp|A2AM05|CNTLN_MOUSE,Cntln,CNTLN_MOUSE Centlein,3022,5,C,228.488,241.805,253.397,246.095,244.101,248.463,252.966,249.333,288.199,294.804,155.513
sp|A2AMM0|MURC_MOUSE,Murc,MURC_MOUSE Muscle-related coiled-coil protein,908,7,C,819.665,772.701,1155.19,946.842,625.408,644.737,395.18,449.364,1187.01,1259.77,911.072
sp|A2AN08|UBR4_MOUSE,Ubr4,UBR4_MOUSE E3 ubiquitin-protein ligase UBR4,279,89,C,12579.9,11328.3,10520.7,9839.13,9815.11,9585.94,8885.57,10634.6,11618.2,11925.7,10158.6
sp|A2APB8|TPX2_MOUSE,Tpx2,TPX2_MOUSE Targeting protein for Xklp2,2263,27,C,4168.57,3786.69,3851.29,3427.46,5564.59,5431.56,4628.5,5051.26,4046.9,4389.54,4412.59
sp|A2APY7|NDUF5_MOUSE,Ndufaf5,NDUF5_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5,3008,4,C,504.795,603.79,507.283,505.435,628.933,645.068,529.985,511.552,494.754,533.473,525.941
sp|A2AQ19|RTF1_MOUSE,Rtf1,RTF1_MOUSE RNA polymerase-associated protein RTF1 homolog,1595,11,C,1346.78,1605.86,1430.57,1745.92,1383.98,1419.44,1383.73,1191.4,1341.5,1267.2,1258.19
sp|A2AQP0|MYH7B_MOUSE,Myh7b,MYH7B_MOUSE Myosin-7B,466,3,C,1291.21,982.354,703.84,635.737,630.77,539.314,561.081,634.728,520.951,674.788,554.721
sp|A2AR02|PPIG_MOUSE,Ppig,PPIG_MOUSE Peptidyl-prolyl cis-trans isomerase G,2815,8,C,1065.67,1200.49,1166.96,1209.5,1355.35,1368.07,1328.08,1168.03,964.029,940.922,1101.02
sp|A2ARZ3|FSIP2_MOUSE,Fsip2,FSIP2_MOUSE Fibrous sheath-interacting protein 2,2558,3,C,418.997,428.769,398.725,470.137,383.97,403.285,344.22,320.27,439.92,348.61,373.051
sp|A2ASS6|TITIN_MOUSE,Ttn,TITIN_MOUSE Titin,139,51,C,13989.8,6601.55,8074.81,5593.96,3470.47,3107.08,2830.1,2722.95,2744.48,2404.64,3859.98
sp|A2AUC9|KLH41_MOUSE,Klhl41,KLH41_MOUSE Kelch-like protein 41,2632,10,C,2038.71,2118.75,1286.21,1257.61,630.733,564.091,489.818,500.291,554.859,532.545,557.581
sp|A2AUM9|CE152_MOUSE,Cep152,CE152_MOUSE Centrosomal protein of 152 kDa,5992,5,C,363.014,388.841,302.473,328.842,347.22,313.48,457.533,406.736,252.177,233.566,225.391
sp|A2AVZ9|S43A3_MOUSE,Slc43a3,S43A3_MOUSE Solute carrier family 43 member 3,5616,1,C,42.8175,52.5033,50.1677,58.8306,52.9389,53.0512,62.2678,53.5822,52.8479,50.3277,51.4222
sp|A2AWA9|RBGP1_MOUSE,Rabgap1,RBGP1_MOUSE Rab GTPase-activating protein 1,466,28,C,3968.9,4631.45,3818.79,4331.62,4228.03,4462.03,3878.69,3466.94,3942.48,3723.37,4074.23
sp|A2AWL7|MGAP_MOUSE,Mga,MGAP_MOUSE MAX gene-associated protein,4319,2,C,32.644,29.9148,38.591,33.9432,41.4691,40.1778,35.6959,45.4039,44.3071,39.7085,42.0159
sp|A2AWP8|ARGAL_MOUSE,Arhgef10l,ARGAL_MOUSE Rho guanine nucleotide exchange factor 10-like protein,2396,3,C,617.247,638.121,805.453,833.524,294.829,304.615,305.493,288.506,441.238,437.673,354.407
sp|A2BDX3|MOCS3_MOUSE,Mocs3,MOCS3_MOUSE Adenylyltransferase and sulfurtransferase MOCS3,5371,5,C,408.974,426.236,442.72,487.966,468.867,475.231,398.614,402.905,410.832,410.714,651.208
sp|A2BE28|LAS1L_MOUSE,Las1l,LAS1L_MOUSE Ribosomal biogenesis protein LAS1L,1301,18,C,3563.91,3135.38,3139.45,3200.44,2945.55,2657.73,3651.75,3413.47,2821.4,2481.52,2839.51
sp|A2BH40|ARI1A_MOUSE,Arid1a,ARI1A_MOUSE AT-rich interactive domain-containing protein 1A,31,29,C,4358.35,4738.89,4185.72,4601.96,2861.72,2881.43,3680.11,3317.78,3895.13,3774.41,2927.85
sp|A2CG49|KALRN_MOUSE,Kalrn,KALRN_MOUSE Kalirin,2086,6,C,858.366,684.232,824.403,812.52,658.998,632.743,589.382,634.893,709.603,663.054,670.726
sp|A2CG63|ARI4B_MOUSE,Arid4b,ARI4B_MOUSE AT-rich interactive domain-containing protein 4B,3588,4,C,338.11,355.124,329.133,342.932,373.473,408.675,395.613,362.242,382.909,339.682,312.406
sp|A2RSJ4|UH1BL_MOUSE,Uhrf1bp1l,UH1BL_MOUSE UHRF1-binding protein 1-like,747,14,C,1761.94,1716.5,1646.57,1680.68,2006.4,1950.76,1566.13,1618.19,1944.15,1916.84,2823.64
sp|A2RSQ0|DEN5B_MOUSE,Dennd5b,DEN5B_MOUSE DENN domain-containing protein 5B,5138,6,C,1206.75,871.78,912.827,859.193,870.972,847.049,872.681,962.802,962.076,929.699,817.547
sp|A2RSX7|TYW5_MOUSE,Tyw5,TYW5_MOUSE tRNA wybutosine-synthesizing protein 5,4128,4,C,399.855,440.735,417.214,455.599,459.016,479.607,525.187,480.034,446.969,477.042,478.016
sp|A2RSY1|KANL3_MOUSE,Kansl3,KANL3_MOUSE KAT8 regulatory NSL complex subunit 3,3688,4,C,289.633,183.611,270.012,245.064,299.722,289.841,247.865,307.274,289.509,295.452,336.584
sp|A2RSY6|TRM1L_MOUSE,Trmt1l,TRM1L_MOUSE TRMT1-like protein,4074,12,C,1025.09,809.152,1193.92,967.17,1326.65,1251.46,1122.24,1341.8,1018.01,1019.48,1800.12
sp|A2RTL5|RSRC2_MOUSE,Rsrc2,RSRC2_MOUSE Arginine/serine-rich coiled-coil protein 2,1593,8,C,645.094,739.848,683.33,757.166,869.863,906.007,914.722,757.668,729.106,714.075,619.401
sp|A3KFM7|CHD6_MOUSE,Chd6,CHD6_MOUSE Chromodomain-helicase-DNA-binding protein 6,31,4,C,330.179,105.797,352.842,212.168,408.704,354.579,261.495,414.921,272.549,292.341,461.805
sp|A3KGB4|TBC8B_MOUSE,Tbc1d8b,TBC8B_MOUSE TBC1 domain family member 8B,127,21,C,2842.99,3100.09,2820.69,2938.26,2431.36,2520.14,2545.3,2314.04,3711.21,3624.36,2503.24
sp|A3KGF9|CO052_MOUSE,,CO052_MOUSE Uncharacterized protein C15orf52 homolog,2249,2,C,116.842,86.344,119.114,98.179,146.928,145.266,143.634,143.682,108.141,118.888,198.312
sp|A3KGS3|RGPA2_MOUSE,Ralgapa2,RGPA2_MOUSE Ral GTPase-activating protein subunit alpha-2,2003,3,C,211.501,195.707,231.099,189.886,194.091,193.414,224.493,234.008,176.941,190.137,205.016
sp|A3KGV1|ODFP2_MOUSE,Odf2,ODFP2_MOUSE Outer dense fiber protein 2,1495,3,C,102.124,80.5071,132.231,105.017,210.867,177.73,116.761,139.621,123.265,107.999,180.221
sp|A6H5Y3|METH_MOUSE,Mtr,METH_MOUSE Methionine synthase,4372,6,C,422.381,495.741,396.133,461.681,475.642,480.719,587.47,518.164,516.963,517.35,545.324
sp|A6H5Z3|EXC6B_MOUSE,Exoc6b,EXC6B_MOUSE Exocyst complex component 6B,3707,8,C,2130.68,1875.73,1688.4,1658.77,1635.81,1720.34,1462.08,1607.1,1983.71,1922.94,1545.32
sp|A6H611|MIPEP_MOUSE,Mipep,MIPEP_MOUSE Mitochondrial intermediate peptidase,4442,7,C,1152.2,1245.64,1342.89,1214.44,1367.04,1426.16,1291.29,1368.85,1177.6,1199.98,1478.22
sp|A6H619|PHRF1_MOUSE,Phrf1,PHRF1_MOUSE PHD and RING finger domain-containing protein 1,745,2,C,175.323,166.717,183.349,171.373,249.694,237.33,237.949,239.348,214.769,218.527,198.198
sp|A6H630|CF211_MOUSE,,CF211_MOUSE UPF0364 protein C6orf211 homolog,1385,11,C,2354.34,2498.48,2296.62,2366.61,1999.21,2063.99,2209.15,2020.14,2407.8,2333.85,2513.57
sp|A6H687|SAC31_MOUSE,Sac3d1,SAC31_MOUSE SAC3 domain-containing protein 1,3511,2,C,175.542,144.678,169.064,154.973,158.284,172.574,149.589,176.291,196.941,211.351,229.31
sp|A6H6A9|RBG1L_MOUSE,Rabgap1l,RBG1L_MOUSE Rab GTPase-activating protein 1-like,466,5,C,811.098,914.97,950.675,1013.49,892.353,907.387,832.774,786.39,880.526,855.522,849.862
sp|A6H8H2|DEN4C_MOUSE,Dennd4c,DEN4C_MOUSE DENN domain-containing protein 4C,1291,17,C,1844.36,1810.18,2022.27,1926.51,1994.51,1966.24,1801.05,1971.19,1762.4,1838.13,1528.54
sp|A6NMY6|AXA2L_HUMAN_contaminant,ANXA2P2,AXA2L_HUMAN_contaminant Putative annexin A2-like protein,843,34,C,4906.17,5177.47,4468.05,5131.58,4852.62,5148.57,6000.65,5234.67,4817.06,4491.06,3865.6
sp|A6PWY4|WDR76_MOUSE,Wdr76,WDR76_MOUSE WD repeat-containing protein 76,2010,2,C,114.82,110.172,116.719,100.961,166.015,173.941,190.065,198.404,139.181,139.02,161.634
sp|A6X8Z5|RHG31_MOUSE,Arhgap31,RHG31_MOUSE Rho GTPase-activating protein 31,835,13,C,1239.87,1083.12,1139.03,1094.65,802.721,826.906,787.968,785.176,912.122,908.078,499.266
sp|A6X919|D19L1_MOUSE,Dpy19l1,D19L1_MOUSE Probable C-mannosyltransferase DPY19L1,1345,4,C,261.105,91.2393,323.408,170.082,490.578,410.334,278.666,466.279,496.373,514.118,520.76
sp|A6X935|ITIH4_MOUSE,Itih4,"ITIH4_MOUSE Inter alpha-trypsin inhibitor, heavy chain 4",5891,1,C,44.9894,45.2441,35.0747,42.9874,52.9085,48.2068,39.7487,41.2494,25.1618,30.949,38.0028
sp|A7DTG3|SRTD4_MOUSE,Sertad4,SRTD4_MOUSE SERTA domain-containing protein 4,3358,1,C,110.405,127.431,107.47,117.045,109.811,129.664,100.731,72.1475,159.294,163.314,101.547
sp|A8C756|THADA_MOUSE,Thada,THADA_MOUSE Thyroid adenoma-associated protein homolog,1647,23,C,2451.92,2673.17,2527.32,2674.06,2958.44,3148.89,3036.85,3028.11,2893.72,2819.43,3422.09
sp|B0V2N1|PTPRS_MOUSE,Ptprs,PTPRS_MOUSE Receptor-type tyrosine-protein phosphatase S,1315,6,C,306.964,305.733,242.364,238.972,214.339,208.608,191.373,176.328,242.648,243.058,231.911
sp|B1AQJ2|UBP36_MOUSE,Usp36,UBP36_MOUSE Ubiquitin carboxyl-terminal hydrolase 36,1672,16,C,1594.42,1592.47,1493.67,1565.45,1824.32,1783.89,2409.34,2291.43,1353.67,1297.24,1546.26
sp|B1AR13|CISD3_MOUSE,Cisd3,"CISD3_MOUSE CDGSH iron-sulfur domain-containing protein 3, mitochondrial",1035,3,C,1108.24,1135.73,1217.01,1085.43,837.652,809.552,725.296,778.075,503.987,501.806,547.615
sp|B1AUR6|MMS22_MOUSE,Mms22l,MMS22_MOUSE Protein MMS22-like,2204,7,C,663.762,572.686,666.063,626.324,580.446,560.45,618.255,655.571,644.82,635.962,449.919
sp|B1AVY7|KI16B_MOUSE,Kif16b,KI16B_MOUSE Kinesin-like protein KIF16B,466,6,C,859.275,717.54,778.834,742.396,942.551,892.096,864.056,947.278,1045.76,1034.23,969.032
sp|B1AVZ0|UPP_MOUSE,Uprt,UPP_MOUSE Uracil phosphoribosyltransferase homolog,4351,8,C,510.612,601.246,492.557,598.903,587.44,591.459,520.324,467.705,692.087,607.37,720.568
sp|B1AX39|ZCHC7_MOUSE,Zcchc7,ZCHC7_MOUSE Zinc finger CCHC domain-containing protein 7,4933,1,C,184.949,183.359,164.394,142.516,260.761,253.984,240.921,237.108,159.247,150.174,181.478
sp|B1AXD8|AKIR2_MOUSE,Akirin2,AKIR2_MOUSE Akirin-2,5440,1,C,123.699,188.892,141.386,165.497,146.76,155.629,123.362,127.341,119.397,114.028,124.626
sp|B1AXP6|TOM5_MOUSE,Tomm5,TOM5_MOUSE Mitochondrial import receptor subunit TOM5 homolog,5476,2,C,548.387,464.533,717.635,549.5,668.069,726.164,439.099,512.613,587.733,587.223,701.473
sp|B1AY10|NFX1_MOUSE,Nfx1,NFX1_MOUSE Transcriptional repressor NF-X1,389,10,C,796.582,835.192,844.654,731.982,942.556,942.202,781.945,799.872,789.129,739.36,688.568
sp|B1AY13|UBP24_MOUSE,Usp24,UBP24_MOUSE Ubiquitin carboxyl-terminal hydrolase 24,2231,29,C,3323.21,3546.75,3132.08,3245.46,3337.91,3370.49,3133.01,3274.96,2773.5,2853.51,1967.84
sp|B1AZA5|TM245_MOUSE,Tmem245,TM245_MOUSE Transmembrane protein 245,3487,3,C,550.973,188.28,549.917,288.774,331.67,335.118,253.597,425.762,408.501,431.513,472.791
sp|B1AZI6|THOC2_MOUSE,Thoc2,THOC2_MOUSE THO complex subunit 2,1933,25,C,3045.66,1419.46,3538.13,2254.87,3569.89,3343.6,2354.77,3385.63,3812.54,3960.37,4533.45
sp|B1AZP2|DLGP4_MOUSE,Dlgap4,DLGP4_MOUSE Disks large-associated protein 4,4657,4,C,1104.46,1185.55,905.028,930.059,581.485,546.661,418.627,379.574,441.366,436.805,477.88
sp|B2RQC6|PYR1_MOUSE,Cad,PYR1_MOUSE CAD protein,1555,81,C,8653.37,9315.87,8971.21,9762.3,10057,10604.7,12804,12063.8,9477.11,9506.11,11206.4
sp|B2RQE8|RHG42_MOUSE,Arhgap42,RHG42_MOUSE Rho GTPase-activating protein 42,4468,4,C,344.066,331.049,311.305,306.011,376.67,384.908,289.981,281.177,246.362,249.337,275.833
sp|B2RR83|YTDC2_MOUSE,Ythdc2,YTDC2_MOUSE Probable ATP-dependent RNA helicase YTHDC2,305,9,C,868.276,664.482,974.342,806.202,1176.28,1153.26,1222.31,1470.87,1271.1,1315.74,790.244
sp|B2RRE7|OTUD4_MOUSE,Otud4,OTUD4_MOUSE OTU domain-containing protein 4,687,16,C,1388.87,1694.9,1557.06,1715.79,1536.59,1663.06,2799.68,2854.41,1314.95,1336.53,1142.95
sp|B2RS91|RRN3_MOUSE,Rrn3,RRN3_MOUSE RNA polymerase I-specific transcription initiation factor RRN3,4694,4,C,460.836,535.644,386.223,442.784,428.976,466.469,460.088,401.454,343.227,334.121,362.526
sp|B2RUR8|OTU7B_MOUSE,Otud7b,OTU7B_MOUSE OTU domain-containing protein 7B,1912,14,C,2644.07,2939.91,2646.57,2723.82,2278.45,2433.92,2434.19,2429.27,2034.2,2021.55,2385.91
sp|B2RVL6|ZCH24_MOUSE,Zcchc24,ZCH24_MOUSE Zinc finger CCHC domain-containing protein 24,2816,4,C,390.297,461.622,488.77,537.083,481.639,543.738,478.112,458.427,497.749,531.843,506.719
sp|B2RWS6|EP300_MOUSE,Ep300,EP300_MOUSE Histone acetyltransferase p300,1052,17,C,1840.84,1443.49,1961.43,1645.4,2282.74,2175.97,2056.6,2232.96,2084.04,2082.27,2435.22
sp|B2RX14|TUT4_MOUSE,Zcchc11,TUT4_MOUSE Terminal uridylyltransferase 4,3860,10,C,889.007,688.946,900.534,750.702,1277.95,1277.32,1055.02,1255.89,1012.3,1042.5,989.647
sp|B2RX88|CSPP1_MOUSE,Cspp1,CSPP1_MOUSE Centrosome and spindle pole associated protein 1,1093,2,C,226.528,185.394,254.593,226.348,300.764,292.032,236.516,261.019,301.477,293.541,257.904
sp|B2RXC1|TPC11_MOUSE,Trappc11,TPC11_MOUSE Trafficking protein particle complex subunit 11,38,16,C,3093.75,2422.54,2696.84,2804.23,2496.83,2389.08,2437.73,2534.63,2455.56,2313.44,2160.89
sp|B2RXR6|ANR44_MOUSE,Ankrd44,ANR44_MOUSE Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,3946,6,C,492.371,565.584,542.25,625.531,351.31,360.134,857.921,724.941,669.817,712.708,568.141
sp|B2RXS4|PLXB2_MOUSE,Plxnb2,PLXB2_MOUSE Plexin-B2,886,47,C,6597.96,6838.24,6520.17,6639.56,6686.49,7005.76,7169.96,7269.58,7781.37,7887.07,6775.89
sp|B2RY04|DOCK5_MOUSE,Dock5,DOCK5_MOUSE Dedicator of cytokinesis protein 5,1093,14,C,1427.21,1211.1,1691.21,1431.42,1377.93,1292.15,1521.42,1714.11,1410.09,1343.14,1764.93
sp|B2RY56|RBM25_MOUSE,Rbm25,RBM25_MOUSE RNA-binding protein 25,2002,25,C,4322.03,5010.1,4674.76,5031.05,4831.65,5046.42,4748.64,4492.36,4215.92,4053.76,4052.68
sp|B7ZMP1|XPP3_MOUSE,Xpnpep3,XPP3_MOUSE Probable Xaa-Pro aminopeptidase 3,2085,7,C,1216.75,1197.76,1411.16,1215.28,1471.34,1454.21,1189.59,1214.59,1296.42,1248.77,1911.6
sp|B7ZNG0|KIF7_MOUSE,Kif7,KIF7_MOUSE Kinesin-like protein KIF7,466,12,C,1980.96,1917.79,1736.15,1791.91,1769.9,1704.35,1712.11,1682.23,1713.48,1539.39,1573.03
sp|B8ZXI1|QTRD1_MOUSE,Qtrtd1,QTRD1_MOUSE Queuine tRNA-ribosyltransferase subunit QTRTD1,1226,9,C,892.156,1042.79,918.821,1007.02,1290.71,1397.59,1242.83,1210.08,993.458,1050.46,1080.95
sp|B9EKI3|TMF1_MOUSE,Tmf1,TMF1_MOUSE TATA element modulatory factor,2295,8,C,1371.85,1383.21,1253.06,1271.83,1043.97,979.332,1002.06,905.816,999.996,964.916,991.009
sp|D0QMC3|MNDAL_MOUSE,Mndal,MNDAL_MOUSE Myeloid cell nuclear differentiation antigen-like protein,2276,6,C,572.898,414.014,550.169,474.467,705.769,713.457,812.691,811.477,876.265,816.833,698.517
sp|D3YXK1|SAMD1_MOUSE,Samd1,SAMD1_MOUSE Atherin,4609,5,C,247.176,259.59,268.986,234.218,405.513,426.801,736.255,722.876,246.752,285.715,321.153
sp|D3YXK2|SAFB1_MOUSE,Safb,SAFB1_MOUSE Scaffold attachment factor B1,1439,27,C,3779.05,4117.01,3838.89,4048.42,4112.72,4092.59,4006.77,3492.21,3722.61,3437.99,3347.27
sp|D3YZG8|MTD2L_MOUSE,Mthfd2l,MTD2L_MOUSE Probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2,466,2,C,322.381,354.811,324.836,307.679,508.962,473.779,391.449,388.756,368.771,346.585,372.439
